Train-loss,Val-loss
0.029347659139877948,0.029393727746631564
0.023287416315762345,0.026078550803378737
0.021858647999376108,0.024539940637247317
0.02079222833456094,0.02386637547470886
0.019766071126428256,0.024137831293046474
0.019157619966046813,0.024041001990052133
0.01867763675538074,0.024733681472596424
0.018387939542519164,0.023793862811450302
0.018403903374774863,0.02371747162321518
0.018109203799534908,0.024455470659224123
0.018268862023911217,0.0234226332013977
0.018293084050256668,0.02380237697848472
0.018340099561332222,0.023970593232661486
0.018632750127694962,0.023215325067526306
0.018134557478821155,0.02410696983208944
0.018200734447002972,0.024402922902513165
0.018342362689590434,0.02410386306843881
0.01826699738809999,0.02402236500498036
0.01817112779756848,0.02361818642259158
