Train-loss,Val-loss
18.967101577221325,14.082933906851144
17.461978481397598,17.593750892014338
16.692826349710682,13.644154766510272
16.298742515524637,17.372937888934693
15.396089783239201,14.300109069922875
14.118128375908762,14.286468242776804
14.033456695858145,13.83703991873511
13.343681042137016,11.482681866349845
12.765587635466323,11.95541668349299
12.610420938209979,12.81369529921433
12.175746990643006,10.822569281890475
11.97465398303422,12.24674177991933
11.766219626996936,14.798733345393476
11.597293311377982,11.435504845504102
11.573010257838927,13.257044825060614
11.565507734764074,12.480022763383799
11.494501376889415,13.703744830756351
11.391528131625906,20.951900728817645
11.451986220284425,10.597895157748255
11.2227331911985,14.495474963352597
11.245206283949495,11.183207413245892
11.265474081039429,11.040624558925629
11.197581005260297,10.81896263155444
11.119967796548535,11.577597396127109
11.138107998674268,11.415959687068545
10.830227581905746,12.357322939511004
10.986081416664254,11.40241444521937
10.872215442641085,11.694787185767602
10.705840215240556,14.381722836658872
