                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                    1.1,                0.00627,                0.14741,                 4.6596,               0.003664,               0.003664,               0.003664
                     67,                 1.0848,                 0.0068,                0.14532,                 4.6604,               0.003565,               0.003565,               0.003565
                     68,                 1.0643,                0.00627,                0.14558,                 4.6594,               0.003466,               0.003466,               0.003466
                     69,                 1.0317,                0.00575,                0.14767,                 4.6603,               0.003367,               0.003367,               0.003367
                     70,                 1.0221,                0.00523,                0.14297,                 4.6609,               0.003268,               0.003268,               0.003268
                     71,                0.99251,                0.00706,                0.14271,                 4.6604,               0.003169,               0.003169,               0.003169
                     72,                0.99113,                0.00601,                0.14375,                  4.661,                0.00307,                0.00307,                0.00307
                     73,                0.97459,                0.00653,                0.13748,                 4.6608,               0.002971,               0.002971,               0.002971
                     74,                0.94381,                0.00706,                0.13617,                 4.6606,               0.002872,               0.002872,               0.002872
                     75,                0.93862,                0.00575,                0.13853,                 4.6611,               0.002773,               0.002773,               0.002773
                     76,                0.91173,                0.00549,                0.13565,                  4.661,               0.002674,               0.002674,               0.002674
                     77,                0.90609,                 0.0047,                0.13774,                 4.6615,               0.002575,               0.002575,               0.002575
                     78,                0.87856,                0.00444,                0.13722,                 4.6622,               0.002476,               0.002476,               0.002476
                     79,                0.87066,                0.00523,                  0.138,                 4.6622,               0.002377,               0.002377,               0.002377
                     80,                  0.886,                0.00497,                0.13748,                 4.6622,               0.002278,               0.002278,               0.002278
                     81,                0.84071,                0.00523,                  0.138,                 4.6625,               0.002179,               0.002179,               0.002179
                     82,                0.82377,                0.00549,                0.13983,                 4.6625,                0.00208,                0.00208,                0.00208
                     83,                0.81534,                0.00497,                0.13983,                 4.6626,               0.001981,               0.001981,               0.001981
                     84,                 0.8068,                0.00418,                0.13983,                 4.6628,               0.001882,               0.001882,               0.001882
                     85,                0.79379,                0.00497,                0.14166,                 4.6629,               0.001783,               0.001783,               0.001783
                     86,                 0.7648,                 0.0047,                0.14297,                 4.6631,               0.001684,               0.001684,               0.001684
                     87,                0.75626,                0.00549,                0.14375,                 4.6631,               0.001585,               0.001585,               0.001585
                     88,                0.74291,                0.00575,                0.14062,                 4.6631,               0.001486,               0.001486,               0.001486
