Train-loss,Val-loss
881.0976312345153,2303.30805133322
120.16629173423254,119.26463510264522
104.5103171737592,105.92744538680367
103.59708113021982,115.44261846127718
104.50243125560978,113.34756310504416
102.96977479445545,130.84980083963146
104.31430522505059,99.69181657874066
104.36622743721468,136.21535113790762
104.60625053313841,109.71045227050782
102.90281928057514,110.15545986009681
98.79197790044105,101.92834883980129
98.86874316112105,99.91421110733695
98.65595272937453,103.26304540219515
98.8323368065944,110.89030575959579
98.5094798706895,106.11775459621263
98.60538726911693,101.32959196671196
98.93436913810375,109.35350487750509
