                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4592,                0.00216,                0.03677,                 4.6639,               0.005248,               0.005248,               0.005248
                     51,                 1.4131,                 0.0018,                 0.0411,                 4.6639,               0.005149,               0.005149,               0.005149
                     52,                 1.3924,                0.00252,                0.04001,                 4.6635,                0.00505,                0.00505,                0.00505
                     53,                 1.3557,                0.00252,                0.03857,                 4.6645,               0.004951,               0.004951,               0.004951
                     54,                 1.3647,                0.00144,                0.03353,                 4.6651,               0.004852,               0.004852,               0.004852
                     55,                  1.342,                0.00216,                0.03677,                 4.6651,               0.004753,               0.004753,               0.004753
                     56,                 1.2808,                0.00108,                0.03713,                 4.6653,               0.004654,               0.004654,               0.004654
                     57,                 1.2417,                0.00288,                0.03821,                 4.6645,               0.004555,               0.004555,               0.004555
                     58,                 1.2472,                 0.0018,                0.03569,                  4.665,               0.004456,               0.004456,               0.004456
                     59,                 1.2344,                 0.0018,                0.03533,                 4.6649,               0.004357,               0.004357,               0.004357
                     60,                  1.196,                0.00108,                0.04218,                 4.6652,               0.004258,               0.004258,               0.004258
