                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4748,                0.00397,                 0.0274,                 4.6586,              0.0033261,              0.0033261,              0.0033261
                      2,                  3.128,                0.00613,                 0.0429,                 4.6578,              0.0065935,              0.0065935,              0.0065935
                      3,                 3.0894,                0.00829,                0.04182,                 4.6585,              0.0097949,              0.0097949,              0.0097949
                      4,                 3.0922,                0.00613,                 0.0292,                  4.658,               0.009703,               0.009703,               0.009703
                      5,                 2.9489,                0.00577,                0.03893,                 4.6582,               0.009703,               0.009703,               0.009703
                      6,                 2.8604,                0.00829,                0.04001,                 4.6562,               0.009604,               0.009604,               0.009604
                      7,                 2.8221,                0.00757,                 0.0429,                 4.6569,               0.009505,               0.009505,               0.009505
                      8,                 2.7325,                0.00757,                0.03965,                 4.6582,               0.009406,               0.009406,               0.009406
                      9,                 2.6913,                0.00577,                0.03244,                 4.6579,               0.009307,               0.009307,               0.009307
                     10,                 2.6566,                0.00865,                 0.0465,                 4.6561,               0.009208,               0.009208,               0.009208
                     11,                 2.6176,                0.00721,                0.03821,                 4.6582,               0.009109,               0.009109,               0.009109
                     12,                  2.566,                0.00613,                0.03713,                 4.6583,                0.00901,                0.00901,                0.00901
                     13,                 2.5303,                0.00865,                0.03965,                 4.6572,               0.008911,               0.008911,               0.008911
                     14,                 2.4921,                0.00324,                0.03569,                 4.6578,               0.008812,               0.008812,               0.008812
                     15,                 2.4718,                0.00649,                 0.0429,                 4.6581,               0.008713,               0.008713,               0.008713
                     16,                 2.4329,                0.00541,                0.03713,                 4.6583,               0.008614,               0.008614,               0.008614
                     17,                 2.4169,                0.00577,                0.03749,                 4.6578,               0.008515,               0.008515,               0.008515
                     18,                 2.3721,                0.00865,                0.04182,                 4.6572,               0.008416,               0.008416,               0.008416
                     19,                 2.3359,                0.00829,                0.04001,                 4.6572,               0.008317,               0.008317,               0.008317
                     20,                 2.2916,                0.00577,                0.03857,                 4.6588,               0.008218,               0.008218,               0.008218
                     21,                 2.2903,                0.00288,                0.03893,                 4.6597,               0.008119,               0.008119,               0.008119
                     22,                 2.2367,                0.00541,                0.03425,                 4.6585,                0.00802,                0.00802,                0.00802
                     23,                 2.2042,                0.00541,                0.04074,                 4.6586,               0.007921,               0.007921,               0.007921
                     24,                 2.1833,                 0.0036,                0.02992,                 4.6594,               0.007822,               0.007822,               0.007822
                     25,                 2.1615,                0.00577,                0.03749,                 4.6593,               0.007723,               0.007723,               0.007723
                     26,                 2.1255,                0.00541,                0.03713,                 4.6588,               0.007624,               0.007624,               0.007624
                     27,                 2.0929,                 0.0036,                0.04146,                 4.6596,               0.007525,               0.007525,               0.007525
                     28,                 2.0476,                 0.0036,                 0.0328,                 4.6599,               0.007426,               0.007426,               0.007426
                     29,                 2.0568,                0.00577,                0.03929,                 4.6585,               0.007327,               0.007327,               0.007327
                     30,                 2.0376,                0.00469,                0.03641,                 4.6597,               0.007228,               0.007228,               0.007228
                     31,                 2.0087,                0.00505,                0.04578,                 4.6587,               0.007129,               0.007129,               0.007129
                     32,                 1.9564,                0.00505,                0.04037,                 4.6597,                0.00703,                0.00703,                0.00703
                     33,                 1.9265,                0.00505,                0.03785,                 4.6599,               0.006931,               0.006931,               0.006931
                     34,                 1.8795,                0.00397,                0.04182,                 4.6605,               0.006832,               0.006832,               0.006832
                     35,                 1.8906,                 0.0036,                0.04074,                 4.6609,               0.006733,               0.006733,               0.006733
                     36,                 1.8445,                0.00397,                0.04146,                 4.6604,               0.006634,               0.006634,               0.006634
                     37,                 1.8063,                0.00433,                 0.0429,                 4.6601,               0.006535,               0.006535,               0.006535
                     38,                 1.7657,                0.00613,                0.04254,                 4.6602,               0.006436,               0.006436,               0.006436
                     39,                 1.7247,                0.00469,                0.03677,                 4.6612,               0.006337,               0.006337,               0.006337
                     40,                 1.7063,                0.00324,                0.03785,                 4.6611,               0.006238,               0.006238,               0.006238
                     41,                 1.6697,                0.00216,                0.03821,                 4.6622,               0.006139,               0.006139,               0.006139
                     42,                 1.6464,                0.00397,                0.03857,                 4.6616,                0.00604,                0.00604,                0.00604
                     43,                 1.6058,                0.00288,                0.03821,                 4.6624,               0.005941,               0.005941,               0.005941
                     44,                 1.5993,                0.00288,                0.03893,                 4.6626,               0.005842,               0.005842,               0.005842
                     45,                 1.5759,                0.00252,                0.03857,                 4.6629,               0.005743,               0.005743,               0.005743
                     46,                 1.5647,                0.00397,                0.04362,                  4.662,               0.005644,               0.005644,               0.005644
                     47,                 1.5158,                0.00108,                0.03713,                 4.6633,               0.005545,               0.005545,               0.005545
                     48,                 1.5052,                0.00324,                0.03569,                 4.6631,               0.005446,               0.005446,               0.005446
                     49,                 1.4566,                0.00216,                0.04001,                  4.664,               0.005347,               0.005347,               0.005347
